station name,distance,event,location,magnitude of event,type of magnitude,max amplitude,frequency band
SDV,1098.8152708496646,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.034410733674873e-06,"(0.1, 0.25)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.1516028345824053e-05,"(0.1, 0.25)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.1598983021507375e-05,"(0.1, 0.25)"
SDV,1098.8152708496646,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,9.794846099714778e-07,"(0.25, 0.5)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.012342583174903e-06,"(0.25, 0.5)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.046892100056333e-06,"(0.25, 0.5)"
SDV,1098.8152708496646,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.119723795278454e-07,"(0.5, 0.75)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.353451771236439e-06,"(0.5, 0.75)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.361655984696733e-06,"(0.5, 0.75)"
SDV,1098.8152708496646,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.9487981893104176e-07,"(0.75, 1.0)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.378535226003393e-07,"(0.75, 1.0)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.396707594901183e-07,"(0.75, 1.0)"
SDV,1098.8152708496646,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.9926047379973796e-07,"(1.0, 1.25)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.828457925378041e-07,"(1.0, 1.25)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.8400938930529505e-07,"(1.0, 1.25)"
